Epoch  AP@[IoU=0.50:0.95]  AP@[IoU=0.5]  AP@[IoU=0.75]  AP@[area=small]  AP@[area=middle]  AP@[area=large]  AR@[1 per image]  AR@[10 per image]  AR@[100 per image]  AR@[area=small]  AR@[area=middle]  AR@[area=large]  mloss  lr
epoch:   0  0.1108  0.2218  0.0985  0.0139  0.0963  0.1375  0.1376  0.1969  0.1986  0.0322  0.1753  0.2231  0.0436  0.010000
epoch:   1  0.1993  0.3821  0.1800  0.0407  0.1368  0.2455  0.2217  0.3325  0.3420  0.0693  0.2613  0.3903  0.0472  0.009997
epoch:   2  0.2289  0.4413  0.2087  0.0969  0.1745  0.2761  0.2513  0.3729  0.3823  0.1707  0.3163  0.4180  0.0437  0.009987
epoch:   3  0.2369  0.4347  0.2378  0.0529  0.1675  0.2974  0.2604  0.3820  0.3907  0.1410  0.3141  0.4399  0.0424  0.009971
epoch:   4  0.2735  0.4854  0.2741  0.0739  0.2000  0.3376  0.2841  0.4148  0.4276  0.1701  0.3502  0.4727  0.0405  0.009948
epoch:   5  0.2756  0.4742  0.2902  0.0462  0.1911  0.3446  0.2933  0.4218  0.4313  0.1299  0.3223  0.4925  0.0401  0.009918
epoch:   6  0.2916  0.4971  0.3016  0.0824  0.1766  0.3649  0.2973  0.4307  0.4408  0.1527  0.3058  0.5128  0.0394  0.009883
epoch:   7  0.2951  0.5256  0.2976  0.0651  0.2189  0.3525  0.2966  0.4394  0.4511  0.1490  0.3470  0.5044  0.0395  0.009841
epoch:   8  0.3292  0.5474  0.3519  0.0890  0.2267  0.3950  0.3153  0.4485  0.4581  0.1718  0.3522  0.5132  0.0389  0.009792
epoch:   9  0.3273  0.5544  0.3466  0.0901  0.2343  0.3959  0.3202  0.4697  0.4827  0.2006  0.3940  0.5328  0.0379  0.009738
epoch:  10  0.3561  0.5803  0.3870  0.0927  0.2556  0.4319  0.3443  0.4971  0.5097  0.1910  0.4159  0.5674  0.0373  0.009677
epoch:  11  0.3451  0.5651  0.3706  0.0906  0.2328  0.4300  0.3352  0.4827  0.4963  0.1954  0.3875  0.5585  0.0369  0.009610
epoch:  12  0.3352  0.5534  0.3461  0.0865  0.2581  0.3996  0.3250  0.4635  0.4753  0.2021  0.3916  0.5204  0.0372  0.009538
epoch:  13  0.3538  0.5683  0.3762  0.0857  0.2382  0.4378  0.3447  0.4920  0.5041  0.2124  0.3881  0.5667  0.0363  0.009459
epoch:  14  0.3689  0.6038  0.3983  0.0857  0.2617  0.4480  0.3513  0.4984  0.5108  0.1769  0.4108  0.5738  0.0362  0.009375
epoch:  15  0.3587  0.5846  0.3842  0.0867  0.2472  0.4370  0.3390  0.4876  0.5005  0.2222  0.3879  0.5578  0.0350  0.009285
epoch:  16  0.3608  0.5874  0.3857  0.1165  0.2472  0.4331  0.3510  0.5073  0.5180  0.2345  0.3959  0.5777  0.0350  0.009190
epoch:  17  0.3851  0.6023  0.4276  0.0776  0.2643  0.4733  0.3644  0.5189  0.5311  0.2157  0.4174  0.5962  0.0336  0.009089
epoch:  18  0.4058  0.6160  0.4460  0.1250  0.2704  0.4921  0.3756  0.5315  0.5429  0.2107  0.4260  0.6080  0.0335  0.008983
epoch:  19  0.3946  0.6148  0.4390  0.0851  0.2699  0.4839  0.3613  0.5225  0.5347  0.2049  0.4124  0.6098  0.0336  0.008873
epoch:  20  0.3751  0.5796  0.4120  0.0625  0.2639  0.4621  0.3514  0.4979  0.5065  0.1470  0.3934  0.5775  0.0331  0.008757
epoch:  21  0.4082  0.6268  0.4522  0.0856  0.2823  0.4863  0.3737  0.5346  0.5460  0.2168  0.4404  0.6069  0.0329  0.008637
epoch:  22  0.3956  0.6178  0.4403  0.1274  0.2768  0.4724  0.3639  0.5259  0.5370  0.2420  0.4412  0.5916  0.0322  0.008513
epoch:  23  0.4085  0.6181  0.4520  0.1140  0.2860  0.4884  0.3818  0.5311  0.5423  0.2014  0.4208  0.6078  0.0319  0.008384
epoch:  24  0.4077  0.6316  0.4482  0.1326  0.2840  0.4910  0.3793  0.5349  0.5458  0.2386  0.4258  0.6148  0.0323  0.008251
epoch:  25  0.4059  0.6209  0.4448  0.1215  0.2674  0.4910  0.3798  0.5340  0.5452  0.2103  0.4130  0.6135  0.0314  0.008114
epoch:  26  0.3936  0.6146  0.4286  0.1078  0.2774  0.4743  0.3642  0.5186  0.5301  0.2338  0.4206  0.5885  0.0313  0.007974
